title,author,publishedDate,price
The Great Gatsby,F. Scott Fitzgerald,1925-04-10,10.99
1984,George Orwell,1949-06-08,8.99
To Kill a Mockingbird,Harper Lee,1960-07-11,7.99
Pride and Prejudice,Jane Austen,1813-01-28,6.99
The Catcher in the Rye,J.D. Salinger,1951-07-16,9.99
Moby-Dick,Herman Melville,1851-10-18,11.5
War and Peace,Leo Tolstoy,1869-01-01,12.99
The Hobbit,J.R.R. Tolkien,1937-09-21,10.5
Brave New World,Aldous Huxley,1932-08-30,8.49
Crime and Punishment,Fyodor Dostoevsky,1866-01-01,9.99
